,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
127,4211.0,601.5714285714286,973,139.0,8.022401843618637e-17,7.1068,8.913389692240649e-10,0.09873001669922767,30.06330676716033
128,1968.0,281.14285714285717,406,58.0,2.215255640213384e-20,7.3814,1.6184814755955543e-14,0.029354766961954548,45.81235247521418
129,4012.0,668.6666666666666,1245,207.5,9.753717818723266e-14,6.3748,2.8203100593710986e-08,0.11383796066985809,25.079570980684988
130,2299.0,574.75,282,70.5,1.0963650302687823e-10,5.9715,4.028016603017787e-08,0.058548423917930706,24.565355129120128
131,1598.0,228.28571428571428,409,58.42857142857143,4.380365461417762e-20,7.1248,8.101717490684367e-12,0.05856250930500833,36.84490935995512
132,1470.0,294.0,433,86.6,3.049900355383341e-13,5.8505,1.048810346505369e-09,0.0521485723336429,29.828599031069142
133,2885.0,577.0,388,77.6,1.2210896420885195e-12,6.3091,1.6840805996358413e-08,0.07753189704937617,25.82346357205308
134,1846.0,263.7142857142857,475,67.85714285714286,1.343462673587708e-18,7.0307,1.0738880518230014e-11,0.060425140350324195,36.438365437307034
135,3836.0,767.2,574,114.8,2.3716605707166342e-11,5.982,2.1424489688799802e-07,0.11149950172878456,22.154235823103907
136,4340.0,620.0,968,138.28571428571428,1.8266682166743073e-16,6.7294,2.1298454699437272e-09,0.10876348670549936,28.806604093879425
137,2113.0,352.1666666666667,387,64.5,9.48448782543876e-16,6.3938,3.819062608802221e-11,0.04985911864689657,34.60799047240803
138,2442.0,488.4,405,81.0,2.4264880619114704e-13,6.2256,3.2895243538709846e-09,0.06139908120754639,28.17947386027508
139,3255.0,465.0,870,124.28571428571429,4.385836731156355e-17,6.7562,9.043461436656754e-11,0.0765662166436881,33.364333965625526
140,1968.0,328.0,456,76.0,5.994141158571079e-16,6.5334,2.1168218626097815e-11,0.04631381313394119,35.45930917675028
141,1503.0,300.6,446,89.2,1.771444212161882e-13,5.9605,1.0076139000511414e-08,0.07204659327258928,26.564481829773847
142,1535.0,255.83333333333334,433,72.16666666666667,1.3289274459074364e-18,6.7036,4.799292861081499e-11,0.0513035191593815,34.27838719229501
